Materia,Día,Horario
Algebra y Geometria Analitica,Martes,16:00-18:00
Algoritmos y Programacion,Martes,16:00-18:00
Analisis Matematico I,Miércoles,14:00-16:00
Analisis Matematico II,Lunes,20:00-22:00
Arquitectura de Computadoras,Martes,18:00-20:00
Automatas y Lenguajes Formales,Lunes,16:00-18:00
Bases de Datos,Miércoles,18:00-20:00
Estructuras de Datos,Martes,14:00-16:00
Etica y Deontologia Profesional,Martes,20:00-22:00
Ingles Tecnico,Miércoles,16:00-18:00
Lenguajes de Programacion,Martes,18:00-20:00
Organizacion de Computadoras,Martes,14:00-16:00
Organizacion de Empresas,Lunes,18:00-20:00
Probabilidad y Estadistica,Miércoles,18:00-20:00
Programacion Orientada a Objetos,Miércoles,16:00-18:00
Sistemas Operativos,Lunes,14:00-16:00
Teoria de Sistemas,Martes,20:00-22:00
